Address,Total_value,Land_value,Building_value,Year_Built,Land_Size,PricePerSqFt
4309 OSLER ST VANCOUVER V6H 2X6,"$4,235,000",3587000.00,648000.00,1992.00,6750,$531.41
1128 CONNAUGHT DR VANCOUVER V6H 2H1,"$10,839,000",5756000.00,5083000.00,2017.00,14920,$385.79
1121 CONNAUGHT DR VANCOUVER V6H 2G9,"$4,946,000",4437000.00,509000.00,1924.00,8224,$539.52
1156 CONNAUGHT DR VANCOUVER V6H 2H1,"$6,132,000",4913000.00,1219000.00,1994.00,10316.46,$476.23
1263 BALFOUR AVE VANCOUVER V6H 1X6,"$8,004,000",6459000.00,1545000.00,1912.00,17932.95,$360.17
1239 MATTHEWS AVE VANCOUVER V6H 1W5,"$15,620,000",8676000.00,6944000.00,1999.00,25714,$337.40
4510 BEVERLY CRES VANCOUVER V6J 4E6,"$7,250,000",4986000.00,2264000.00,2004.00,12493,$399.10
1063 CONNAUGHT DR VANCOUVER V6H 2G7,"$4,007,000",3487000.00,520000.00,1989.00,7943.39,$438.98
4862 ANGUS DR VANCOUVER V6J 4J7,"$7,138,000",4759000.00,2379000.00,2012.00,9543.75,$498.65
4815 MARGUERITE ST VANCOUVER V6J 4H1,"$4,914,000",4727000.00,187000.00,1922.00,9397.8,$502.99
1726 32ND AVE W VANCOUVER V6J 3A7,"$5,630,000",5107000.00,523000.00,1914.00,11302,$451.87
4747 MARGUERITE ST VANCOUVER V6J 4H1,"$3,911,000",3727000.00,184000.00,1977.00,7248,$514.21
4562 ANGUS DR VANCOUVER V6J 4J5,"$6,535,000",4853000.00,1682000.00,1998.00,10000,$485.30
4612 ANGUS DR VANCOUVER V6J 4J5,"$7,506,000",4853000.00,2653000.00,2020.00,10000,$485.30
4662 ANGUS DR VANCOUVER V6J 4J5,"$5,032,000",4853000.00,179000.00,1920.00,10000,$485.30
4637 MARGUERITE ST VANCOUVER V6J 4G7,"$5,642,000",5153000.00,489000.00,1921.00,11500,$448.09
4561 MARGUERITE ST VANCOUVER V6J 4G7,"$5,020,000",4706000.00,314000.00,1921.00,9301,$505.97
4716 PINE CRES VANCOUVER V6J 4L3,"$4,543,000",4370000.00,173000.00,1925.00,11449,$381.69
4750 PINE CRES VANCOUVER V6J 4L3,"$3,627,700",3572000.00,55700.00,1925.00,7428,$480.88
4812 PINE CRES VANCOUVER V6J 4L3,"$3,467,000",3367000.00,100000.00,1925.00,6663,$505.33
1-4838 PINE CRES VANCOUVER V6J 4L3,"$3,686,000",3166000.00,520000.00,2021.00,6650,$476.09
4888 PINE CRES VANCOUVER V6J 4L3,"$3,483,000",3377000.00,106000.00,1947.00,9218,$366.35
4887 ANGUS DR VANCOUVER V6J 4J6,"$3,966,000",3855000.00,111000.00,1927.00,11200,$344.20
4717 ANGUS DR VANCOUVER V6J 4J6,"$6,791,000",5094000.00,1697000.00,1996.00,11250,$452.80
4662 PINE CRES VANCOUVER V6J 4L2,"$4,722,000",4377000.00,345000.00,1924.00,11486,$381.07
4663 ANGUS DR VANCOUVER V6J 4J4,"$6,125,000",5082000.00,1043000.00,1992.00,11200,$453.75
4611 ANGUS DR VANCOUVER V6J 4J4,"$5,366,000",5082000.00,284000.00,1928.00,11200,$453.75
1815 30TH AVE W VANCOUVER V6J 3A2,"$3,512,800",3450000.00,62800.00,1924.00,6250,$552.00
1868 34TH AVE W VANCOUVER V6M 1G1,"$2,954,000",2654000.00,300000.00,1977.00,3960,$670.20
1818 34TH AVE W VANCOUVER V6M 1G1,"$3,120,000",2586000.00,534000.00,1979.00,3756,$688.50
1855 34TH AVE W VANCOUVER V6M 1G2,"$3,937,000",3340000.00,597000.00,1953.00,7955,$419.86
4998 ANGUS DR VANCOUVER V6M 3M5,"$4,276,000",3489000.00,787000.00,1992.00,6100,$571.97
5026 ANGUS DR VANCOUVER V6M 3M5,"$4,277,000",3489000.00,788000.00,1993.00,6100,$571.97
5038 ANGUS DR VANCOUVER V6M 3M5,"$4,310,000",3490000.00,820000.00,1994.00,6100,$572.13
5007 MARGUERITE ST VANCOUVER V6M 3J9,"$4,401,000",3518000.00,883000.00,1924.00,6191,$568.24
4963 MARGUERITE ST VANCOUVER V6M 3J9,"$3,951,000",3525000.00,426000.00,1920.00,6214.5,$567.22
4942 PINE CRES VANCOUVER V6M 3P6,"$4,142,000",3542000.00,600000.00,1931.00,6957.5,$509.09
4958 PINE CRES VANCOUVER V6M 3P6,"$3,814,000",3540000.00,274000.00,1931.00,6947.33,$509.55
5042 PINE CRES VANCOUVER V6M 3P6,"$3,609,300",3528000.00,81300.00,1925.00,6897,$511.53
5041 ANGUS DR VANCOUVER V6M 3M6,"$3,599,800",3510000.00,89800.00,1923.00,6820,$514.66
5025 ANGUS DR VANCOUVER V6M 3M6,"$3,738,000",3510000.00,228000.00,1923.00,6820,$514.66
4353 HUDSON ST VANCOUVER V6H 3B3,"$3,710,000",2907000.00,803000.00,1995.00,5924.57,$490.67
4989 GRANVILLE ST VANCOUVER V6M 3B3,"$3,903,600",3839000.00,64600.00,1951.00,13300,$288.65
4792 OSLER ST VANCOUVER V6H 2Y6,"$4,491,000",4109000.00,382000.00,1925.00,8723,$471.05
1105 32ND AVE W VANCOUVER V6H 2H8,"$3,220,700",3165000.00,55700.00,1925.00,5400,$586.11
1137 32ND AVE W VANCOUVER V6H 2H8,"$4,451,900",4378000.00,73900.00,1924.00,7903.4,$553.94
3212 EAST BOULEVARD VANCOUVER V6J 4A6,"$2,574,300",2520000.00,54300.00,1926.00,7020,$358.97
3226 EAST BOULEVARD VANCOUVER V6J 4A6,"$3,044,000",2941000.00,103000.00,1926.00,7020,$418.95
2050 16TH AVE W VANCOUVER V6J 2W7,"$2,892,500",2843000.00,49500.00,1908.00,11500,$247.22
3374 EAST BOULEVARD VANCOUVER V6J 4A7,"$2,990,700",2941000.00,49700.00,1925.00,7020,$418.95
2033 18TH AVE W VANCOUVER V6J 2N7,"$9,259,000",5191000.00,4068000.00,2005.00,11500,$451.39
2050 19TH AVE W VANCOUVER V6J 2P4,"$6,545,000",5871000.00,674000.00,1988.00,13441.2,$436.79
1990 19TH AVE W VANCOUVER V6J 2P3,"$5,976,000",5151000.00,825000.00,1912.00,15000,$343.40
1938 19TH AVE W VANCOUVER V6J 2P3,"$4,860,000",4710000.00,150000.00,1912.00,13500,$348.89
1903 CEDAR CRES VANCOUVER V6J 2R5,"$5,526,000",4405000.00,1121000.00,1912.00,14455,$304.74
1988 18TH AVE W VANCOUVER V6J 2N5,"$7,783,000",5911000.00,1872000.00,1997.00,12500,$472.88
1927 19TH AVE W VANCOUVER V6J 2P2,"$5,096,000",4666000.00,430000.00,1918.00,12500,$373.28
1950 17TH AVE W VANCOUVER V6J 2N1,"$4,854,000",4666000.00,188000.00,1912.00,12500,$373.28
1906 17TH AVE W VANCOUVER V6J 2N1,"$6,591,000",5953000.00,638000.00,1952.00,12637.5,$471.06
3238 MAPLE ST VANCOUVER V6J 3V2,"$5,285,000",3896000.00,1389000.00,1995.00,12587.5,$309.51
1904 16TH AVE W VANCOUVER V6J 2M4,"$3,447,000",3159000.00,288000.00,1913.00,12637.5,$249.97
3297 CYPRESS ST VANCOUVER V6J 3N7,"$7,190,000",5953000.00,1237000.00,1987.00,12637.5,$471.06
1888 16TH AVE W VANCOUVER V6J 2M2,"$3,344,000",3144000.00,200000.00,1922.00,12500,$251.52
1850 16TH AVE W VANCOUVER V6J 2M2,"$3,274,000",3144000.00,130000.00,1926.00,12500,$251.52
1833 17TH AVE W VANCOUVER V6J 2M8,"$6,647,000",4762000.00,1885000.00,2007.00,9375,$507.95
1867 17TH AVE W VANCOUVER V6J 2M8,"$4,609,500",4542000.00,67500.00,1912.00,12500,$363.36
3350 CYPRESS ST VANCOUVER V6J 3N8,"$5,113,000",5013000.00,100000.00,1911.00,15000,$334.20
3438 CYPRESS ST VANCOUVER V6J 3N8,"$8,143,000",6181000.00,1962000.00,1994.00,15000,$412.07
3439 CEDAR CRES VANCOUVER V6J 2R4,"$3,971,000",3810000.00,161000.00,1925.00,11706,$325.47
1868 17TH AVE W VANCOUVER V6J 2M9,"$5,924,000",4394000.00,1530000.00,1913.00,11700,$375.56
1838 17TH AVE W VANCOUVER V6J 2M9,"$4,440,000",4101000.00,339000.00,1934.00,11700,$350.51
1798 16TH AVE W VANCOUVER V6J 2M1,"$4,149,000",3883000.00,266000.00,1981.00,12500,$310.64
3538 CYPRESS ST VANCOUVER V6J 3P1,"$8,834,000",4716000.00,4118000.00,1912.00,14208,$331.93
1864 19TH AVE W VANCOUVER V6J 2N9,"$5,454,000",5098000.00,356000.00,1925.00,14579,$349.68
1812 19TH AVE W VANCOUVER V6J 2N9,"$6,391,000",5680000.00,711000.00,1912.00,16794,$338.22
3438 CEDAR CRES VANCOUVER V6J 2R3,"$4,246,000",3958000.00,288000.00,1911.00,10199.068,$388.07
3388 CEDAR CRES VANCOUVER V6J 2R3,"$5,174,000",4858000.00,316000.00,1917.00,13296.66,$365.35
3350 CEDAR CRES VANCOUVER V6J 2R3,"$6,232,000",6142000.00,90000.00,1951.00,13259.72,$463.21
3302 CEDAR CRES VANCOUVER V6J 2R3,"$5,358,000",4943000.00,415000.00,1925.00,13651,$362.10
3403 PINE CRES VANCOUVER V6J 4K1,"$8,999,000",8989000.00,10000.00,1912.00,23582.05,$381.18
3489 PINE CRES VANCOUVER V6J 4K1,"$8,958,000",6622000.00,2336000.00,1994.00,15624,$423.84
1837 19TH AVE W VANCOUVER V6J 2P1,"$8,479,000",4789000.00,3690000.00,1918.00,14843,$322.64
1837 19TH AVE W VANCOUVER V6J 2P1,"$8,479,000",4789000.00,3690000.00,1918.00,14843,$322.64
1427 41ST AVE W VANCOUVER V6M 1X5,"$2,524,400",2461000.00,63400.00,1926.00,8317.2747,$295.89
1449 41ST AVE W VANCOUVER V6M 1X5,"$2,845,000",2692000.00,153000.00,1927.00,8317.2747,$323.66
1379 41ST AVE W VANCOUVER V6M 1X4,"$3,015,000",2777000.00,238000.00,1936.00,8863.75,$313.30
1343 41ST AVE W VANCOUVER V6M 1X4,"$3,473,000",2767000.00,706000.00,1986.00,8801.25,$314.39
1319 41ST AVE W VANCOUVER V6M 1X4,"$2,797,700",2761000.00,36700.00,1942.00,8758.75,$315.23
1289 41ST AVE W VANCOUVER V6M 1X2,"$3,151,000",2661000.00,490000.00,1990.00,8126,$327.47
1667 41ST AVE W VANCOUVER V6M 1X9,"$4,762,000",4453000.00,309000.00,1948.00,17100,$260.41
1107 39TH AVE W VANCOUVER V6M 1S7,"$5,268,000",3802000.00,1466000.00,2007.00,8125,$467.94
1121 39TH AVE W VANCOUVER V6M 1S7,"$5,835,000",3772000.00,2063000.00,2005.00,8000,$471.50
1135 39TH AVE W VANCOUVER V6M 1S7,"$7,075,000",3772000.00,3303000.00,2017.00,8000,$471.50
5538 OSLER ST VANCOUVER V6M 2W9,"$3,683,000",3568000.00,115000.00,1966.00,7933.2,$449.76
1123 40TH AVE W VANCOUVER V6M 1V1,"$4,250,000",3622000.00,628000.00,1988.00,7428,$487.61
1109 40TH AVE W VANCOUVER V6M 1V1,"$5,762,000",3895000.00,1867000.00,2005.00,8542.2,$455.97
1207 40TH AVE W VANCOUVER V6M 1V3,"$4,205,000",3978000.00,227000.00,1929.00,8913.6,$446.28
1221 40TH AVE W VANCOUVER V6M 1V3,"$5,085,000",3868000.00,1217000.00,1995.00,8418.4,$459.47
1498 39TH AVE W VANCOUVER V6M 1T3,"$3,095,000",2943000.00,152000.00,1927.00,8214.048,$358.29
1679 40TH AVE W VANCOUVER V6M 1W1,"$6,821,000",6669000.00,152000.00,1926.00,17062.5,$390.86
1655 40TH AVE W VANCOUVER V6M 1W1,"$7,031,000",6729000.00,302000.00,1928.00,17500,$384.51
1437 40TH AVE W VANCOUVER V6M 1V5,"$3,557,000",3450000.00,107000.00,1927.00,6811.195,$506.52
1405 40TH AVE W VANCOUVER V6M 1V5,"$3,858,000",3278000.00,580000.00,1926.00,6811.195,$481.27
1460 39TH AVE W VANCOUVER V6M 1T3,"$3,079,000",2864000.00,215000.00,1939.00,6810.0275,$420.56
1288 39TH AVE W VANCOUVER V6M 1T1,"$5,285,000",3580000.00,1705000.00,2004.00,8913.6,$401.63
1235 40TH AVE W VANCOUVER V6M 1V3,"$3,933,200",3868000.00,65200.00,1950.00,8418.4,$459.47
1512 40TH AVE W VANCOUVER V6M 1V8,"$2,899,500",2827000.00,72500.00,1928.00,8400,$336.55
5550 CHURCHILL ST VANCOUVER V6M 3G9,"$7,135,000",6959000.00,176000.00,1926.00,16976,$409.93
1537 40TH AVE W VANCOUVER V6M 1V7,"$3,829,000",3710000.00,119000.00,1928.00,11200,$331.25
1511 40TH AVE W VANCOUVER V6M 1V7,"$3,556,000",3373000.00,183000.00,1949.00,11200,$301.16
1650 40TH AVE W VANCOUVER V6M 1V9,"$7,784,000",6371000.00,1413000.00,1927.00,17100,$372.57
5550 SOMERSET CRES VANCOUVER V6M 1S6,"$6,935,000",6688000.00,247000.00,1929.00,17201,$388.81
1428 39TH AVE W VANCOUVER V6M 1T3,"$3,514,000",3278000.00,236000.00,1927.00,6810.0275,$481.35
1250 39TH AVE W VANCOUVER V6M 1T1,"$5,516,000",3868000.00,1648000.00,2011.00,8418.4,$459.47
2098 18TH AVE W VANCOUVER V6J 2N8,"$4,573,000",2941000.00,1632000.00,2006.00,7020,$418.95
3437 MAPLE ST VANCOUVER V6J 3V5,"$5,552,100",5503000.00,49100.00,1949.00,11555,$476.24
1838 19TH AVE W VANCOUVER V6J 2N9,"$5,692,200",5603000.00,89200.00,1918.00,15830,$353.95
3770 EAST BOULEVARD VANCOUVER V6J 4B1,"$3,548,300",3500000.00,48300.00,1947.00,9900,$353.54
1975 KING EDWARD AVE W VANCOUVER V6J 2W7,"$3,162,600",3092000.00,70600.00,1918.00,13883.3,$222.71
4050 PINE CRES VANCOUVER V6J 4K5,"$3,669,000",3402000.00,267000.00,1910.00,17912.4,$189.92
3633 SELKIRK ST VANCOUVER V6H 2Y9,"$8,583,000",4785000.00,3798000.00,2002.00,14811,$323.07
1150 WOLFE AVE VANCOUVER V6H 1V8,"$6,058,000",5893000.00,165000.00,1955.00,20960.496,$281.15
1110 33RD AVE W VANCOUVER V6M 1A2,"$3,550,000",3351000.00,199000.00,1930.00,8150.8119,$411.12
1093 38TH AVE W VANCOUVER V6M 1P7,"$6,614,000",3860000.00,2754000.00,2012.00,8382,$460.51
1070 38TH AVE W VANCOUVER V6M 1P6,"$3,777,000",3639000.00,138000.00,1966.00,8250,$441.09
1163 39TH AVE W VANCOUVER V6M 1S7,"$4,625,000",3772000.00,853000.00,1990.00,8000,$471.50
1128 37TH AVE W VANCOUVER V6M 1L9,"$4,588,000",3804000.00,784000.00,1993.00,8134.4,$467.64
4568 MARGUERITE ST VANCOUVER V6J 4G8,"$4,654,000",3837000.00,817000.00,1996.00,6260,$612.94
1277 38TH AVE W VANCOUVER V6M 1R2,"$4,557,000",3722000.00,835000.00,1986.00,8642.8,$430.65
5162 MARGUERITE ST VANCOUVER V6M 3K2,"$6,161,000",4976000.00,1185000.00,1926.00,10668.9,$466.40
1-5289 CONNAUGHT DR VANCOUVER V6M 3G2,"$7,322,000",6080000.00,1242000.00,2021.00,17200,$353.49
5515 CHURCHILL ST VANCOUVER V6M 3G8,"$5,845,000",5465000.00,380000.00,1925.00,13712,$398.56
5400 CARTIER ST VANCOUVER V6M 3A5,"$112,577,000",83310000.00,29267000.00,2007.00,284325,$293.01
1052 WOLFE AVE VANCOUVER V6H 1V7,"$10,559,000",5341000.00,5218000.00,2011.00,14381,$371.39
1121 NANTON AVE VANCOUVER V6H 2C4,"$4,854,000",3434000.00,1420000.00,2016.00,6195,$554.32
4816 ANGUS DR VANCOUVER V6J 4J7,"$4,707,800",4625000.00,82800.00,1925.00,8958.84,$516.25
4580 MAPLE CRES VANCOUVER V6J 4B4,"$3,297,100",3199000.00,98100.00,1927.00,7131,$448.60
1190 LAURIER AVE VANCOUVER V6H 1Y5,"$8,521,000",8360000.00,161000.00,1951.00,20000,$418.00
3998 OSLER ST VANCOUVER V6H 2W9,"$9,138,000",7038000.00,2100000.00,1997.00,14002.8,$502.61
1233 LAURIER AVE VANCOUVER V6H 1Y7,"$11,265,000",8360000.00,2905000.00,1995.00,20000,$418.00
4088 GRANVILLE ST VANCOUVER V6H 3L2,"$4,780,000",4655000.00,125000.00,1957.00,20000,$232.75
1056 MATTHEWS AVE VANCOUVER V6H 1W3,"$10,918,000",5337000.00,5581000.00,2009.00,14349,$371.94
1120 16TH AVE W VANCOUVER V6H 1S6,"$4,697,000",4477000.00,220000.00,1911.00,13691,$327.00
4038 MAPLE CRES VANCOUVER V6J 4B2,"$4,273,000",2739000.00,1534000.00,2016.00,7060.68,$387.92
4012 MAPLE CRES VANCOUVER V6J 4B2,"$3,024,000",2654000.00,370000.00,1932.00,6600,$402.12
1946 KING EDWARD AVE W VANCOUVER V6J 2W6,"$3,688,000",3038000.00,650000.00,1930.00,8144,$373.04
1938 KING EDWARD AVE W VANCOUVER V6J 2W6,"$3,364,000",3210000.00,154000.00,1929.00,9142.4,$351.11
4583 CONNAUGHT DR VANCOUVER V6J 4E1,"$9,159,000",6345000.00,2814000.00,1992.00,16910,$375.22
4537 BEVERLY CRES VANCOUVER V6J 4E7,"$8,168,000",4412000.00,3756000.00,2019.00,9472,$465.79
4526 CONNAUGHT DR VANCOUVER V6J 4E2,"$6,668,000",3760000.00,2908000.00,2011.00,14279,$263.32
1676 16TH AVE W VANCOUVER V6J 2L8,"$2,684,000",2442000.00,242000.00,1920.00,9375,$260.48
4049 CARTIER ST VANCOUVER V6H 3C7,"$11,321,000",4625000.00,6696000.00,2013.00,20000,$231.25
3738 GRANVILLE ST VANCOUVER V6H 3K8,"$5,147,000",5028000.00,119000.00,1912.00,26013.54,$193.28
3857 GRANVILLE ST VANCOUVER V6H 3K9,"$3,392,000",3226000.00,166000.00,1918.00,12600,$256.03
1562 LAURIER AVE VANCOUVER V6J 2V3,"$7,472,000",7115000.00,357000.00,1979.00,17009.4012,$418.30
5650 OSLER ST VANCOUVER V6M 2W9,"$32,769,000",31741000.00,1028000.00,1968.00,174166,$182.25
1150 40TH AVE W VANCOUVER V6M 1V2,"$6,593,000",3691000.00,2902000.00,2016.00,7680,$480.60
1136 40TH AVE W VANCOUVER V6M 1V2,"$6,468,000",3691000.00,2777000.00,2010.00,7680,$480.60
1122 40TH AVE W VANCOUVER V6M 1V2,"$4,474,000",3691000.00,783000.00,1990.00,7680,$480.60
1107 41ST AVE W VANCOUVER V6M 1X1,"$2,429,500",2377000.00,52500.00,1946.00,7767.5,$306.02
1149 41ST AVE W VANCOUVER V6M 1X1,"$2,698,000",2578000.00,120000.00,1946.00,7648,$337.08
1191 41ST AVE W VANCOUVER V6M 1X1,"$2,639,200",2600000.00,39200.00,1945.00,7767.5,$334.73
1222 40TH AVE W VANCOUVER V6M 1V4,"$4,510,000",3810000.00,700000.00,1992.00,8160,$466.91
5625 SELKIRK ST VANCOUVER V6M 2Y4,"$4,050,000",3917000.00,133000.00,1941.00,8640,$453.36
1221 41ST AVE W VANCOUVER V6M 1X2,"$2,724,200",2661000.00,63200.00,1947.00,8126,$327.47
1469 MCRAE AVE VANCOUVER V6H 1V1,"$17,570,200",15978000.00,1592200.00,1911.00,86470,$184.78
1389 THE CRESCENT VANCOUVER V6H 1T7,"$16,678,000",11717000.00,4961000.00,1913.00,31367.41,$373.54
3351 THE CRESCENT VANCOUVER V6H 1T6,"$15,472,000",14529000.00,943000.00,1913.00,43450,$334.38
1426 ANGUS DR VANCOUVER V6H 1V3,"$27,397,000",11736000.00,15661000.00,1930.00,34099,$344.17
1708 16TH AVE W VANCOUVER V6J 2M1,"$10,539,100",10500000.00,39100.00,1950.00,35625,$294.74
3250 PINE ST VANCOUVER V6J 4W8,"$3,177,000",2768000.00,409000.00,1981.00,9375,$295.25
1611 CEDAR CRES VANCOUVER V6J 2P8,"$3,669,000",2877000.00,792000.00,1924.00,11783.25,$244.16
1663 CEDAR CRES VANCOUVER V6J 2P8,"$4,341,600",4267000.00,74600.00,1921.00,11294,$377.81
1500 16TH AVE W VANCOUVER V6J 2L6,"$4,385,000",3810000.00,575000.00,1913.00,8400,$453.57
1595 MARPOLE AVE VANCOUVER V6J 2R9,"$5,585,000",5372000.00,213000.00,1925.00,17730,$302.99
1599 ANGUS DR VANCOUVER V6J 4H2,"$19,072,000",10788000.00,8284000.00,1996.00,27487.92,$392.46
1695 ANGUS DR VANCOUVER V6J 4H2,"$17,919,000",12039000.00,5880000.00,2014.00,30889,$389.75
1695 PINE CRES VANCOUVER V6J 4J9,"$5,815,000",4776000.00,1039000.00,1923.00,14729,$324.26
1664 CEDAR CRES VANCOUVER V6J 2P9,"$12,241,000",6169000.00,6072000.00,2017.00,13255.27,$465.40
1664 CEDAR CRES VANCOUVER V6J 2P9,"$12,241,000",6169000.00,6072000.00,2017.00,13255.27,$465.40
1605 MARPOLE AVE VANCOUVER V6J 2S2,"$5,014,000",4772000.00,242000.00,1930.00,14700,$324.63
1498 LAURIER AVE VANCOUVER V6H 1Z1,"$6,924,000",5700000.00,1224000.00,1910.00,20000,$285.00
1488 LAURIER AVE VANCOUVER V6H 1Z1,"$15,524,000",7980000.00,7544000.00,2007.00,20000,$399.00
1427 KING EDWARD AVE W VANCOUVER V6H 2A3,"$4,374,000",3744000.00,630000.00,1912.00,20000,$187.20
1475 KING EDWARD AVE W VANCOUVER V6H 2A3,"$3,474,000",3304000.00,170000.00,1925.00,20000,$165.20
1351 KING EDWARD AVE W VANCOUVER V6H 2A1,"$4,703,800",4625000.00,78800.00,1947.00,20000,$231.25
3828 CARTIER ST VANCOUVER V6H 3C5,"$6,632,000",6453000.00,179000.00,1913.00,17838.24,$361.75
1327 LAURIER AVE VANCOUVER V6H 1Y9,"$7,109,000",6840000.00,269000.00,1912.00,20000,$342.00
1351 LAURIER AVE VANCOUVER V6H 1Y9,"$14,347,000",8360000.00,5987000.00,2014.00,20000,$418.00
3888 CARTIER ST VANCOUVER V6H 3C5,"$11,213,000",8375000.00,2838000.00,1997.00,20040,$417.91
1312 BALFOUR AVE VANCOUVER V6H 1X7,"$5,843,000",5698000.00,145000.00,1928.00,12840,$443.77
1490 BALFOUR AVE VANCOUVER V6H 1Y1,"$11,142,000",3698000.00,7444000.00,1912.00,17827.2,$207.44
1499 LAURIER AVE VANCOUVER V6H 1Z2,"$9,273,600",9244000.00,29600.00,1958.00,38000,$243.26
3663 CARTIER ST VANCOUVER V6H 3C4,"$10,758,000",8054000.00,2704000.00,1992.00,18673.2,$431.31
1499 BALFOUR AVE VANCOUVER V6H 1X9,"$4,566,000",4205000.00,361000.00,1988.00,13437.383,$312.93
1397 MATTHEWS AVE VANCOUVER V6H 1W7,"$8,047,000",6764000.00,1283000.00,1928.00,21001.5,$322.07
1469 MATTHEWS AVE VANCOUVER V6H 1W7,"$9,824,000",7303000.00,2521000.00,1912.00,22055.84,$331.11
1354 MATTHEWS AVE VANCOUVER V6H 1W8,"$7,236,000",6391000.00,845000.00,1912.00,16801.95,$380.37
3637 HUDSON ST VANCOUVER V6H 3A6,"$6,184,000",5186000.00,998000.00,1912.00,11483.385,$451.61
3663 HUDSON ST VANCOUVER V6H 3A6,"$6,959,000",5645000.00,1314000.00,1992.00,9757.5488,$578.53
3689 HUDSON ST VANCOUVER V6H 3A6,"$16,087,000",13479000.00,2608000.00,1992.00,33519,$402.13
3610 ALEXANDRA ST VANCOUVER V6J 4B9,"$6,142,000",5707000.00,435000.00,1973.00,12025.594,$474.57
1660 ANGUS DR VANCOUVER V6J 4H3,"$6,898,000",6347000.00,551000.00,1973.00,16124,$393.64
1563 MATTHEWS AVE VANCOUVER V6J 2T1,"$10,911,000",9675000.00,1236000.00,1911.00,32787.18,$295.08
1537 MATTHEWS AVE VANCOUVER V6J 2T1,"$9,673,000",8312000.00,1361000.00,1913.00,29752.128,$279.37
3589 GRANVILLE ST VANCOUVER V6H 3K5,"$9,039,000",6276000.00,2763000.00,1912.00,33025.98,$190.03
3575 GRANVILLE ST VANCOUVER V6H 3K5,"$3,574,000",3371000.00,203000.00,1978.00,10066.08,$334.89
1568 MATTHEWS AVE VANCOUVER V6J 2S9,"$9,510,000",6739000.00,2771000.00,2017.00,14218.62,$473.96
1588 BALFOUR AVE VANCOUVER V6J 2T9,"$8,561,000",6041000.00,2520000.00,1999.00,12101.76,$499.18
1570 BALFOUR AVE VANCOUVER V6J 2T9,"$5,959,000",5598000.00,361000.00,1972.00,11054.4,$506.40
1516 BALFOUR AVE VANCOUVER V6J 2T9,"$3,377,000",3192000.00,185000.00,1921.00,12432,$256.76
1527 LAURIER AVE VANCOUVER V6J 2V2,"$4,383,000",4090000.00,293000.00,1913.00,12722.4,$321.48
1575 LAURIER AVE VANCOUVER V6J 2V2,"$5,047,000",4682000.00,365000.00,1913.00,11691,$400.48
1581 KING EDWARD AVE W VANCOUVER V6J 2V7,"$3,742,100",3684000.00,58100.00,1950.00,14003.5,$263.08
1599 KING EDWARD AVE W VANCOUVER V6J 2W7,"$4,077,000",3744000.00,333000.00,1926.00,20003,$187.17
1657 KING EDWARD AVE W VANCOUVER V6J 2V8,"$4,488,000",4119000.00,369000.00,1951.00,16400,$251.16
1699 LAURIER AVE VANCOUVER V6J 2V5,"$4,690,000",4434000.00,256000.00,1914.00,11818.1,$375.19
1699 MATTHEWS AVE VANCOUVER V6J 2T3,"$6,797,000",5277000.00,1520000.00,1913.00,16026.384,$329.27
1050 CONNAUGHT DR VANCOUVER V6H 2G8,"$4,952,000",3995000.00,957000.00,1995.00,10773.465,$370.82
1235 DEVONSHIRE CRES VANCOUVER V6H 2G2,"$5,327,000",5214000.00,113000.00,1922.00,9514,$548.03
1221 DEVONSHIRE CRES VANCOUVER V6H 2G2,"$5,420,100",5325000.00,95100.00,1924.00,9938,$535.82
4690 OSLER ST VANCOUVER V6H 2Y4,"$4,540,000",3671000.00,869000.00,1993.00,7069,$519.31
1163 CONNAUGHT DR VANCOUVER V6H 2G9,"$4,725,000",4600000.00,125000.00,1925.00,8855.88,$519.43
1168 CONNAUGHT DR VANCOUVER V6H 2H1,"$5,974,000",4898000.00,1076000.00,1992.00,10231.98,$478.70
1138 CONNAUGHT DR VANCOUVER V6H 2H1,"$6,966,000",5180000.00,1786000.00,2003.00,11621.6,$445.72
3789 SELKIRK ST VANCOUVER V6H 2Y9,"$6,963,000",6444000.00,519000.00,1912.00,17680,$364.48
1298 BALFOUR AVE VANCOUVER V6H 1X5,"$9,121,000",7118000.00,2003000.00,2000.00,12741.75,$558.64
1264 BALFOUR AVE VANCOUVER V6H 1X5,"$6,242,000",5714000.00,528000.00,1920.00,12897,$443.05
3590 OSLER ST VANCOUVER V6H 2W6,"$16,072,000",9005000.00,7067000.00,1997.00,21642,$416.09
1089 RICHELIEU AVE VANCOUVER V6H 1S9,"$3,792,000",3241000.00,551000.00,1981.00,6991.87,$463.54
3375 OAK ST VANCOUVER V6H 2L7,"$11,530,000",8023000.00,3507000.00,1930.00,15840,$506.50
3437 OAK ST VANCOUVER V6H 2L7,"$4,502,000",3592000.00,910000.00,1945.00,7920,$453.54
1087 WOLFE AVE VANCOUVER V6H 1V9,"$4,765,400",4707000.00,58400.00,1949.00,15888.38,$296.25
1099 WOLFE AVE VANCOUVER V6H 1V9,"$6,604,000",3186000.00,3418000.00,2018.00,8501.64,$374.75
1186 RICHELIEU AVE VANCOUVER V6H 1T1,"$3,749,000",3399000.00,350000.00,1911.00,13756,$247.09
1138 RICHELIEU AVE VANCOUVER V6H 1T1,"$8,495,000",4136000.00,4359000.00,2020.00,12376.75,$334.17
